COUNTRY NAME,PASSENGERS TO INDIA,PASSENGERS FROM INDIA
AFGHANISTAN,115273,102236
AUSTRALIA,62992,75492
AUSTRIA,54211,60198
BAHRAIN,498723,518977
BANGLADESH,298529,317770
BELGIUM,86913,91926
BHUTAN,36585,34852
BURMA,22691,22336
CANADA,56884,59927
CHINA,246522,252664
EGYPT,13279,16071
ETHIOPIA,62919,68475
FINLAND,41741,44381
FRANCE,329023,335643
GEORGIA,0,0
GERMANY,613977,632619
HONG KONG,700525,715653
IRAN,32172,32214
IRAQ,2586,3445
ISRAEL,29524,31064
ITALY,65239,77357
JAPAN,128428,144177
JORDAN,0,0
KAZAKHSTAN,26938,28768
KENYA,93251,101079
KOREA,73235,78194
KUWAIT,436924,466347
KYRGYZSTAN,6858,7238
MALAYSIA,984147,980067
MALDIVES,108499,115166
MAURITIUS,82560,86082
NEPAL,392603,378711
NETHERLANDS,128922,136324
OMAN,1175661,1263978
PAKISTAN,13142,25510
QATAR,1360204,1396547
REUNION,1135,937
RUSSIA,117034,131968
SAUDI ARABIA,1509528,1584921
SEYCHELLES,18619,18098
SINGAPORE,1639137,1698479
SOUTH AFRICA,8483,11916
SRI LANKA,920433,954366
SWITZERLAND,135720,152729
TAIWAN,10213,28562
TAJIKISTAN,4253,2043
THAILAND,1261074,1262837
TURKEY,181202,188869
TURKMENISTAN,41619,41055
UNITED ARAB EMIRATES,1856057,2085164
UNITED ARAB EMIRATES*,6057224,6263698
UNITED KINGDOM,1209070,1271500
UNITED STATES,365353,397134
UZBEKISTAN,50632,50319
VIETNAM,6268,4354
YEMEN,6906,8519
